REGISTRATION,OPERATOR,TYPE,POPULAR NAME,OPERATION TYPE,EGOW FLIGHT TYPE,CAA FLIGHT TYPE,JET/PROP,CAA OPR,CAA OPR PFX,CAA LESSOR PREFIX,CAA FLIGHT,FIXED C/S,SEATS,WARNINGS,NOTES,ICAO 24,ICAO ACFT CLASS,OWNER,COUNTRY
252,IRISH AIR CORPS,CN35,,,,,,,IRL,,,IRISH,,,,4CA13E,L2T,IRISH AIR CORPS,IRELAND
253,IRISH AIR CORPS,CN35,,,,,,,IRL,,,IRISH,,,,4CA13F,L2T,IRISH AIR CORPS,IRELAND
254,,BN2T,,,,,,,,,,,,,,4CA41B,L2T,,IRELAND
256,,EC35,,,,,,,,,,,,,,4CA158,H2T,IRISH POLICE,IRELAND
258,IRISH AIR CORPS,LJ45,,,,,,,IRL,,,IRISH,,,,4CA204,L2J,IRISH AIR CORPS,IRELAND
260,IRISH AIR CORPS,PC9,,,,,,,IRL,,,IRISH,,,,4CA1E7,L1T,IRISH AIR CORPS,IRELAND
261,IRISH AIR CORPS,PC9,,,,,,,IRL,,,IRISH,,,,4CA1E8,L1T,IRISH AIR CORPS,IRELAND
262,IRISH AIR CORPS,PC9,,,,,,,IRL,,,IRISH,,,,4CA1E9,L1T,IRISH AIR CORPS,IRELAND
263,IRISH AIR CORPS,PC9,,,,,,,IRL,,,IRISH,,,,4CA1EA,L1T,IRISH AIR CORPS,IRELAND
264,IRISH AIR CORPS,PC9,,,,,,,IRL,,,IRISH,,,,4CA1EB,L1T,IRISH AIR CORPS,IRELAND
265,,C337,,,,,,,,,,,,,,4CA1EC,L2P,,IRELAND
266,IRISH AIR CORPS,PC9,,,,,,,IRL,,,IRISH,,,,4CA1ED,L1T,IRISH AIR CORPS,IRELAND
267,IRISH AIR CORPS,PC9,,,,,,,IRL,,,IRISH,,,,4CA1EE,L1T,IRISH AIR CORPS,IRELAND
269,IRISH AIR CORPS,PC9,,,,,,,IRL,,,IRISH,,,,4CA41A,L1T,IRISH AIR CORPS,IRELAND
270,IRISH AIR CORPS,EC35,,,,,,,IRL,,,IRISH,,,,4CA28C,H2T,IRISH AIR CORPS,IRELAND
271,IRISH AIR CORPS,EC35,,,,,,,IRL,,,IRISH,,,,4CA28B,H2T,IRISH AIR CORPS,IRELAND
272,,EC35,,,,,,,,,,,,,,4CA31A,H2T,IRISH POLICE,IRELAND
274,IRISH AIR CORPS,A139,,,,,,,IRL,,,IRISH,,,,4CA31E,H2T,IRISH AIR CORPS,IRELAND
275,IRISH AIR CORPS,A139,,,,,,,IRL,,,IRISH,,,,4CA330,H2T,IRISH AIR CORPS,IRELAND
276,IRISH AIR CORPS,A139,,,,,,,IRL,,,IRISH,,,,4CA331,H2T,IRISH AIR CORPS,IRELAND
277,IRISH AIR CORPS,A139,,,,,,,IRL,,,IRISH,,,,4CA332,H2T,IRISH AIR CORPS,IRELAND
278,IRISH AIR CORPS,A139,,,,,,,IRL,,,IRISH,,,,4CA335,H2T,IRISH AIR CORPS,IRELAND
279,IRISH AIR CORPS,A139,,,,,,,IRL,,,IRISH,,,,4CA336,H2T,IRISH AIR CORPS,IRELAND
280,IRISH AIR CORPS,PC12,,,,,,,IRL,,,IRISH,,,,4CA44B,L1T,IAC - 102 SQN [EIME],IRELAND
281,,PC12,,,,,,,,,,,,,,4CA41C,L1T,,IRELAND
282,,PC12,,,,,,,,,,,,,,4CA41D,L1T,,IRELAND
283,,PC12,,,,,,,,,,,,,,4CA41E,L1T,,IRELAND
2-AALA,,AT75,,,,,,,,,,,,,,43EEB2,L2T,,UNITED KINGDOM
2-ABAC,,B738,,,,,,,,,,,,,,43ED55,L2J,,UNITED KINGDOM
2-ABCD,,AT75,,,,,,,,,,,,,,43F75E,,,GUERNSEY
2-ACIA,,AT75,,,,,,,,,,,,,,43EC5B,,,GUERNSEY
2-ACSB,,A319,,,,,,,,,,,,,,43ECA3,L2J,,UNITED KINGDOM
2-ACSJ,,A320,,,,,,,,,,,,,,43EDF4,L2J,,UNITED KINGDOM
2-ACSM,,B737,,,,,,,,,,,,,,43EDED,L2J,,UNITED KINGDOM
2-ACUA,,A332,,,,,,,,,,,,,,43ECCB,L2J,,UNITED KINGDOM
2-ADAE,,A20N,,,,,,,,,,,,,,43F765,,,GUERNSEY
2-AECA,,A21N,,,,,,,,,,,,,,43F6E7,,,GUERNSEY
2-AECB,,A21N,,,,,,,,,,,,,,43F6E5,,,GUERNSEY
2-AECH,,,,,,,,,,,,,,,,43F76C,,,GUERNSEY
2-AEIP,,A320,,,,,,,,,,,,,,43F796,,,GUERNSEY
2-AERC,,B772,,,,,,,,,,,,,,43EBF4,L2J,,UNITED KINGDOM
2-AERJ,,B737,,,,,,,,,,,,,,43ED8A,L2J,,UNITED KINGDOM
2-AERN,,B738,,,,,,,,,,,,,,43ED9C,,,GUERNSEY
2-AERO,AERO TECHNOLOGIES INC.,E135,,,,,,,,,,,,,,43ED73,L2J,AERO TECHNOLOGIES INC.,UNITED KINGDOM
2-AERP,,B738,,,,,,,,,,,,,,43ED9D,,,GUERNSEY
2-AIAT,,B744,,,,,,,,,,,,,,43F77A,,,GUERNSEY
2-AKOP,,AC11,,,,,,,,,,,,,,43EB16,L1P,PRIVATE,UNITED KINGDOM
2-ALCA,,BCS3,,,,,,,,,,,,,,43F791,,,GUERNSEY
2-ALCB,,BCS3,,,,,,,,,,,,,,43F78E,,,GUERNSEY
2-ALOU,,ALO2,,,,,,,,,,,,,,43EBF8,H1T,,UNITED KINGDOM
2-ALPS,,FA50,,,,,,,,,,,,,,43F71A,,,GUERNSEY
2-AMBO,,ASTR,,,,,,,,,,,,,,43F78A,,,GUERNSEY
2-ANBA,,A320,,,,,,,,,,,,,,43EDAC,L2J,,UNITED KINGDOM
2-ANJA,,BE20,,,,,,,,,,,,,,43F795,,,GUERNSEY
2-ANLD,,PA34,,,,,,,,,,,,,,43EBB4,L2P,PRIVATE,UNITED KINGDOM
2-ANVL,,FA8X,,,,,,,,,,,,,,43F700,,,GUERNSEY
2-AOBG,,B738,,,,,,,,,,,,,,43EDEF,,,GUERNSEY
2-AODZ,,A333,,,,,,,,,,,,,,43EDEC,L2J,,UNITED KINGDOM
2-ASKY,,B738,,,,,,,,,,,,,,43EECA,L2J,,UNITED KINGDOM
2-ATRA,,AT76,,,,,,,,,,,,,,43EC2F,L2T,,UNITED KINGDOM
2-ATRO,,AT46,,,,,,,,,,,,,,43EE13,,,GUERNSEY
2-AUER,CORPORATE AIRLINK,SF50,,,,,,,COO,,,CORPORATE,,,,43EBE5,L1J,CORPORATE,UNITED KINGDOM
2-AVLA,,B739,,,,,,,,,,,,,,43ED39,L2J,,UNITED KINGDOM
2-AVLB,,B739,,,,,,,,,,,,,,43ED35,L2J,,UNITED KINGDOM
